tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 27846348,Gaia DR2 2135275362382289280,85.3139,0.801,0.01394,0.034,0.01,,,,,,5670,0.88,0.98,,296.4797624,49.9376486,0.006318,-7.45765,783.831
TIC 27846348,Gaia DR2 2135275362382289280,85.313,0.831,0.031,,,,,,,,,0.97,1.05,,296.4797624,49.9376486,0.006318,-7.45765,783.831
TIC 27846348,Gaia DR2 2135275362382289280,130.1845,0.844,0.01793,0.038,0.01,,,,124.9,0.0976,5670,0.88,0.98,,296.4797624,49.9376486,0.006318,-7.45765,783.831
TIC 27846348,Gaia DR2 2135275362382289280,130.18,1.053,0.01951,0.02,,,,,,,,,1.1,,296.4797624,49.9376486,0.006318,-7.45765,783.831
TIC 27846348,Gaia DR2 2135275362382289280,130.194,0.865,0.024,0.046,0.008,381,,,124.7,0.10141,6018,0.94,1.04,,296.4797624,49.9376486,0.006318,-7.45765,783.831
TIC 399825554,Gaia DR2 2133589776693414016,7.877,0.225,0.25,,,,,,,,,0.62,0.66,,286.7380152,49.9757383,-3.97537,1.37795,321.542
TIC 399825554,Gaia DR2 2133589776693414016,7.8773565,0.187,0.42476,,,,,2.4223,,0.03698,4075,0.52,0.54,,286.7380152,49.9757383,-3.97537,1.37795,321.542
TIC 399825554,Gaia DR2 2133589776693414016,16.3850021,0.164,0.14284,,,,,3.1252,,0.03225,4075,0.52,0.54,,286.7380152,49.9757383,-3.97537,1.37795,321.542
TIC 399825554,Gaia DR2 2133589776693414016,16.385,0.196,0.198,,,,,,,,,0.62,0.66,,286.7380152,49.9757383,-3.97537,1.37795,321.542
TIC 122446315,Gaia DR2 2101188990094347648,18.649,0.253,0.324,,,,,,,,,0.94,1.02,,290.4617926,40.5624966,1.63077,6.56164,1366.07
TIC 122446315,Gaia DR2 2101188990094347648,18.6489525,0.258,0.34925,,,,,4.4815,,0.02987,5858,0.89,0.98,,290.4617926,40.5624966,1.63077,6.56164,1366.07
TIC 122446315,Gaia DR2 2101188990094347648,38.558,0.278,0.112,,,,,,,,,0.94,1.02,,290.4617926,40.5624966,1.63077,6.56164,1366.07
TIC 122446315,Gaia DR2 2101188990094347648,38.5583038,0.283,0.11327,,,,,5.0162,,0.03277,5858,0.89,0.98,,290.4617926,40.5624966,1.63077,6.56164,1366.07
TIC 28227113,Gaia DR2 2087171453788422528,81.73778,0.198,0.03335,5.4,0.041,380,,6.62,87.5,0.02329,5547,0.87,0.89,,297.4865503,49.6233975,-49.3144,-8.04795,155.956
TIC 171510762,Gaia DR2 2075377679763353984,125.63243,0.747,0.97,2.9,0.39,388,,,94.60738,,5820,0.95,1.05,,299.1224639,41.8667953,2.96941,9.355681,307.318
TIC 271262203,Gaia DR2 2077974687557384704,8.011,0.195,0.068,,,,,,,,,0.53,0.56,,294.7739245,43.0561976,0.0348401,-18.4991,271.701
TIC 271262203,Gaia DR2 2077974687557384704,12.072,0.118,0.062,,,,,,,,,0.53,0.56,,294.7739245,43.0561976,0.0348401,-18.4991,271.701
TIC 164455792,Gaia DR2 2107622335702262400,42.95,0.277,0.03461,1.9,,,,,,,,,0.9,,283.0228527,47.2611431,1.92723,-6.58814,635.145
TIC 164884002,Gaia DR2 2105930840143687680,27.95,0.23,0.135,,,,,,,,,0.66,0.65,,285.1683291,44.0264898,-1.77757,-0.364571,578.796
TIC 164884002,Gaia DR2 2105930840143687680,42.126,0.21,0.22,,,,,,,,,0.66,0.65,,285.1683291,44.0264898,-1.77757,-0.364571,578.796
TIC 138430034,Gaia DR2 2077617930392844800,10.5016,0.581,0.07,0.442,,,,,,,4840,4.23,1.32,,293.7583002,41.871807,-6.74626,-12.0247,912.994
TIC 138430034,Gaia DR2 2077617930392844800,10.501,0.581,0.743,,,,,,,,,4.23,1.32,,293.7583002,41.871807,-6.74626,-12.0247,912.994
TIC 138430034,Gaia DR2 2077617930392844800,10.501,0.455,0.10068,1.4,,,,,,,,,1.4,,293.7583002,41.871807,-6.74626,-12.0247,912.994
TIC 138430034,Gaia DR2 2077617930392844800,21.405,0.874,0.902,,,,,,,,,4.23,1.32,,293.7583002,41.871807,-6.74626,-12.0247,912.994
TIC 138430034,Gaia DR2 2077617930392844800,21.40239,0.874,0.57,1.06,,,,,,,4840,4.23,1.32,,293.7583002,41.871807,-6.74626,-12.0247,912.994
TIC 138430034,Gaia DR2 2077617930392844800,21.405,0.946,0.43294,0.6,,,,,,,,,1.4,,293.7583002,41.871807,-6.74626,-12.0247,912.994
TIC 270615136,Gaia DR2 2126418658780855296,5.729,0.211,0.372,,,,,,,,,0.79,0.88,,293.6413146,44.6570692,4.15925,5.90249,644.14
TIC 270615136,Gaia DR2 2126418658780855296,5.7293196,0.195,0.36183,,,,,1.1185,,0.02762,5145,0.73,0.83,,293.6413146,44.6570692,4.15925,5.90249,644.14
TIC 270615136,Gaia DR2 2126418658780855296,11.609,0.15,0.023,,,,,,,,,0.79,0.88,,293.6413146,44.6570692,4.15925,5.90249,644.14
TIC 270615136,Gaia DR2 2126418658780855296,11.6092567,0.138,0.02863,,,,,1.7074,,0.01958,5145,0.73,0.83,,293.6413146,44.6570692,4.15925,5.90249,644.14
TIC 184471242,Gaia DR2 2073274618947678464,10.2184954,0.248,0.1117,,,,,4.3967,,0.02471,5843,1.03,0.95,,296.3586251,39.1152033,-4.18484,0.136193,969.252
TIC 184471242,Gaia DR2 2073274618947678464,10.219,0.237,0.11,,,,,,,,,1.08,1.02,,296.3586251,39.1152033,-4.18484,0.136193,969.252
TIC 184471242,Gaia DR2 2073274618947678464,15.5741568,0.255,0.16676,,,,,5.1013,,0.02542,5843,1.03,0.95,,296.3586251,39.1152033,-4.18484,0.136193,969.252
TIC 27231753,Gaia DR2 2135237601028549888,25.3029092,0.331,0.05475,,,,,,44.73,,,0.82,0.93,,294.5703593,50.6730147,-1.35605,-0.49692,643.009
TIC 27231753,Gaia DR2 2135237601028549888,12.38602,0.09,0.01038,,,,,,27.783,,,0.82,0.93,,294.5703593,50.6730147,-1.35605,-0.49692,643.009
TIC 27916356,Gaia DR2 2086636884980514304,3.2346996,1.304,0.668,0.4,,1460,,,7.503,0.09424,5647,1.39,1.21,,296.8372475,48.2399695,0.961309,8.42918,587.039
TIC 27916356,Gaia DR2 2086636884980514304,3.234723,1.323,0.669,0.352,0,1500,,,7.05,0.09829,5647,1.39,1.21,0.299,296.8372475,48.2399695,0.961309,8.42918,587.039
TIC 27916356,Gaia DR2 2086636884980514304,3.2346994,1.169,0.647,0.49,0.06,,,,,,5647,1.26,1.11,,296.8372475,48.2399695,0.961309,8.42918,587.039
TIC 27916356,Gaia DR2 2086636884980514304,3.234702,1.169,0.633,0.492,,1451,,,7.57,,5647,1.26,1.11,,296.8372475,48.2399695,0.961309,8.42918,587.039
TIC 158923465,Gaia DR2 2102316985943863424,7.131,0.196,0.073,,,,,,,,,1.45,1.1,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 158923465,Gaia DR2 2102316985943863424,7.1334,0.153,0.01318,4.62,,,,,,,5905,1.26,1.04,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 158923465,Gaia DR2 2102316985943863424,7.133,0.143,0.01164,6,,,,,,,,,1,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 158923465,Gaia DR2 2102316985943863424,8.9187,0.17,0.01211,3.06,,,,,,,5905,1.26,1.04,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 158923465,Gaia DR2 2102316985943863424,8.919,0.161,0.00629,1.7,,,,,,,,,1,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 158923465,Gaia DR2 2102316985943863424,8.922,0.212,0.054,,,,,,,,,1.45,1.1,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 158923465,Gaia DR2 2102316985943863424,11.8981,0.178,0.01309,2.91,,,,,,,5905,1.26,1.04,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 158923465,Gaia DR2 2102316985943863424,11.899,0.143,0.01227,6,,,,,,,,,1,,288.9612535,42.2650472,1.78746,7.70648,1025.1
TIC 164458488,Gaia DR2 2107001283431633408,5.714932,0.117,0.03,,,750,0.043,2.31,18.7,0.0188,4925,0.64,0.69,-0.678,283.2125621,45.3496992,-25.1534,-31.1696,300.874
TIC 164458488,Gaia DR2 2107001283431633408,12.4417,0.048,0.013,,,578,0.007,3.02,31.4,0.0077,4925,0.64,0.69,-0.678,283.2125621,45.3496992,-25.1534,-31.1696,300.874
TIC 164458488,Gaia DR2 2107001283431633408,18.16406,0.174,0.044,,,510,0.092,2.97,40.4,0.0278,4925,0.64,0.69,-0.678,283.2125621,45.3496992,-25.1534,-31.1696,300.874
TIC 164458488,Gaia DR2 2107001283431633408,122.3874,0.144,0.113,,,270,0.07,6.92,144,0.0232,4925,0.64,0.69,-0.678,283.2125621,45.3496992,-25.1534,-31.1696,300.874
TIC 164458488,Gaia DR2 2107001283431633408,267.291,0.126,0.11,,,208,0.042,7.46,243,0.0203,4925,0.64,0.69,-0.678,283.2125621,45.3496992,-25.1534,-31.1696,300.874
TIC 299158887,Gaia DR2 2132628489996257920,9.4341505,0.545,0.378,3,0.45,,,2.903,19.12,0.0622,5576,0.9,0.98,-0.157,289.2262876,49.5482814,14.3365,23.3638,194.033
TIC 159311390,Gaia DR2 2102038912581334656,,1.14,1.01,,0.37,,,,,,,2.69,1.15,,290.3272423,42.8982283,-11.5921,-8.8195,1063.58
TIC 121731834,Gaia DR2 2102119176929154304,2.1549209,0.129,0.0076,4.4,0.028,,,,,0.00921,,1.44,1.25,,288.6887221,41.1511076,0.970255,-14.1892,303.728
TIC 121731834,Gaia DR2 2102119176929154304,5.86,0.233,0.084,,,,,,,,,1.42,1.27,,288.6887221,41.1511076,0.970255,-14.1892,303.728
TIC 121731834,Gaia DR2 2102119176929154304,5.859697,0.234,0.017,1.64,0.02,,,,,0.01674,,1.44,1.25,,288.6887221,41.1511076,0.970255,-14.1892,303.728
TIC 121731834,Gaia DR2 2102119176929154304,8.13167,0.142,0.013,5.7,0.014,,,,,,,1.44,1.25,,288.6887221,41.1511076,0.970255,-14.1892,303.728
TIC 417676622,Gaia DR2 2129550445852902656,5.398763,0.206,0.026,3.32,0,1280,0.01456,3.459,10.68,0.017,5793,1.24,1.08,0.194,291.0323102,49.0402129,-7.33369,-10.4299,144.166
TIC 417676622,Gaia DR2 2129550445852902656,5.39876,0.21,0.02,,0,,0.029,,10.71,,5793,1.28,1.19,,291.0323102,49.0402129,-7.33369,-10.4299,144.166
TIC 417676622,Gaia DR2 2129550445852902656,5.39875,0.208,0.01878,2.6,,,,,,0.01738,5793,1.24,1.08,,291.0323102,49.0402129,-7.33369,-10.4299,144.166
TIC 417676622,Gaia DR2 2129550445852902656,9.605085,0.085,0.015,28,0,,0.00531,3.09,15.68,0.00703,5793,1.24,1.08,0.194,291.0323102,49.0402129,-7.33369,-10.4299,144.166
TIC 417676622,Gaia DR2 2129550445852902656,9.60504,0.089,0.02265,,,,,,,0.00745,5793,1.24,1.08,,291.0323102,49.0402129,-7.33369,-10.4299,144.166
TIC 121660904,Gaia DR2 2102117871259036672,4.885525,1.478,0.433,0.166,0,1540,,4.63,7.22,0.08241,5933,1.84,1.35,0.618,288.5814928,41.0897335,-2.95592,-20.9495,922.562
TIC 121660904,Gaia DR2 2102117871259036672,4.8854892,1.622,0.441,0.14,,1630,,,6.637,0.08294,5933,1.97,1.36,,288.5814928,41.0897335,-2.95592,-20.9495,922.562
TIC 121660904,Gaia DR2 2102117871259036672,4.8854886,1.649,0.449,0.124,0.026,,,,,,5933,2.03,1.41,,288.5814928,41.0897335,-2.95592,-20.9495,922.562
TIC 121660904,Gaia DR2 2102117871259036672,4.8854922,1.649,0.453,0.1256,,1619,,,6.7069,,5933,2.03,1.41,,288.5814928,41.0897335,-2.95592,-20.9495,922.562
TIC 121660904,Gaia DR2 2102117871259036672,4.8854948,1.602,0.425,0.13,,1621,,,6.6934,,5933,1.97,1.28,,288.5814928,41.0897335,-2.95592,-20.9495,922.562
TIC 137903329,Gaia DR2 2077586873492185344,7.340711,0.96,0.604,0.85,0.32,,,,,,6000,1.12,1.18,,293.0925275,41.3555095,-1.53504,-4.732,1177.55
TIC 137903329,Gaia DR2 2077586873492185344,7.340718,1.32,0.68,0.37,0.287,1250,,2.699,11.8,0.09,6050,1.51,1.4,,293.0925275,41.3555095,-1.53504,-4.732,1177.55
TIC 137903329,Gaia DR2 2077586873492185344,7.340711,0.96,0.63,0.88,0,1078,,3.082,15.47,0.0912,6000,1.12,1.18,,293.0925275,41.3555095,-1.53504,-4.732,1177.55
TIC 122785299,Gaia DR2 2050231848829944320,8.884924,1.03,9.9,11,0.569,850,,1.872,19.6,0.121,5330,0.88,0.88,,291.1376203,36.5773443,7.9896,-2.44918,835.356
TIC 122785299,Gaia DR2 2050231848829944320,8.8849116,1.05,10.1,10.83,0.5704,,,,,,5200,0.89,0.91,,291.1376203,36.5773443,7.9896,-2.44918,835.356
TIC 122785299,Gaia DR2 2050231848829944320,8.8849116,1.05,10.1,11,0.57,767,,2.0778,19.77,0.1212,5200,0.89,0.91,,291.1376203,36.5773443,7.9896,-2.44918,835.356
TIC 138644215,Gaia DR2 2052441008208934144,1.54492875,1.25,2,,0,,,,4.525,,6409,1.32,1.2,,294.1921185,39.6189727,-0.48519,-2.52772,822.96
TIC 138644215,Gaia DR2 2052441008208934144,1.5449298,1.36,2.01,1.1,,2140,,,4.464,0.1033,6409,1.32,1.2,,294.1921185,39.6189727,-0.48519,-2.52772,822.96
TIC 138644215,Gaia DR2 2052441008208934144,1.5449287,1.25,2,1.26,0.078,,,,,,6409,1.32,1.2,,294.1921185,39.6189727,-0.48519,-2.52772,822.96
TIC 159098316,Gaia DR2 2126912305142208384,3.57878087,0.96,0.43,0.603,0,1440,0.9849,2.93376,9.764,0.09924,5520,0.99,0.95,,289.6079433,44.3454347,-2.60431,-0.412537,639.411
TIC 159098316,Gaia DR2 2126912305142208384,3.5787806,0.96,0.71,1.07,,,,,,0.0997,5668,0.99,1.08,-0.046,289.6079433,44.3454347,-2.60431,-0.412537,639.411
TIC 159098316,Gaia DR2 2126912305142208384,3.57878087,0.96,0.522,0.732,0.079,,,,,,5520,0.99,0.95,,289.6079433,44.3454347,-2.60431,-0.412537,639.411
TIC 270701667,Gaia DR2 2078373642776670080,0.35500744,0.107,0.00532,5.3,,,0.0217,,2.7,,5121,0.74,0.83,,293.7419543,44.4482521,38.0598,-16.1109,124.376
TIC 270701667,Gaia DR2 2078373642776670080,0.35500744,0.1,0.00619,,,,0.02,,2.66,,5089,0.75,0.84,,293.7419543,44.4482521,38.0598,-16.1109,124.376
TIC 270701667,Gaia DR2 2078373642776670080,0.35500744,0.103,0.025,,,,0.0201,0.814,3,0.0142,5089,0.74,0.81,,293.7419543,44.4482521,38.0598,-16.1109,124.376
TIC 270701667,Gaia DR2 2078373642776670080,0.35500744,0.107,0.00588,6,,,,,,,,,0.83,,293.7419543,44.4482521,38.0598,-16.1109,124.376
TIC 270701667,Gaia DR2 2078373642776670080,0.355,0.11,0.00557,5.26,,,,,,0.01505,5121,0.75,0.78,,293.7419543,44.4482521,38.0598,-16.1109,124.376
TIC 270701667,Gaia DR2 2078373642776670080,0.355,0.105,0.006,5.57,0,2250,,,,,5058,0.74,0.76,,293.7419543,44.4482521,38.0598,-16.1109,124.376
TIC 239306681,Gaia DR2 2076085318570299136,13.4845,0.31,0.0343,1.43,0.015,,0.06751,,19.26,0.02442,6174,1.3,1.17,0.342,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,13.485,0.171,0.17,,,,,,,,,1.04,1.08,,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,13.484542,0.298,0.03933,,,,,,19.37,,,1.28,1.24,,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,27.402,0.183,0.043,,,,,,,,,1.04,1.08,,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,27.4029,0.332,0.019,0.62,0.03,,0.07899,,30.9,0.02618,6174,1.3,1.17,0.342,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,27.4023,0.317,0.02989,,,,,,31.08,,,1.28,1.24,,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,52.090767,0.617,0.03555,,,,,,47.69,,,1.28,1.24,,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,52.0902,0.639,0.019,0.09,0.025,,0.2968,,47.42,0.05038,6174,1.3,1.17,0.342,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,81.064,0.259,0.0107,0.8,,,,,,,,,1.1,,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,81.0659,0.311,0.013,0.53,0.012,,0.0453,,63.68,0.02458,6174,1.3,1.17,0.342,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 239306681,Gaia DR2 2076085318570299136,81.063633,0.305,0.01982,,,,,,64.05,,,1.28,1.24,,300.5171067,44.3815508,-0.112637,-4.10049,1020.72
TIC 123233041,Gaia DR2 2116730994965905280,3.5224991,1.416,0.59,0.27,,1680,,,6.854,0.09575,6213,1.49,1.21,,281.2881335,42.4510975,2.19649,3.8412,1021.87
TIC 123233041,Gaia DR2 2116730994965905280,3.52249905,1.419,0.56,0.244,0.18,,,,,,6210,1.49,1.21,,281.2881335,42.4510975,2.19649,3.8412,1021.87
TIC 123233041,Gaia DR2 2116730994965905280,3.52254,1.419,0.603,0.261,0,1764,,,6.97,0.09809,6213,1.49,1.21,0.605,281.2881335,42.4510975,2.19649,3.8412,1021.87
TIC 123233041,Gaia DR2 2116730994965905280,3.5225047,1.381,0.59,0.279,,1662,,,6.9832,,6213,1.5,1.23,,281.2881335,42.4510975,2.19649,3.8412,1021.87
TIC 184296619,Gaia DR2 2076328963475704576,7.05246,0.238,0.0218,1.38,,,,,,,4540,0.68,0.73,-0.77,296.1125759,39.9787451,-1.37962,-7.18457,369.451
TIC 184296619,Gaia DR2 2076328963475704576,9.52355,0.244,0.02121,1.22,,,,,,,4540,0.68,0.73,-0.77,296.1125759,39.9787451,-1.37962,-7.18457,369.451
TIC 184296619,Gaia DR2 2076328963475704576,3.07222,0.136,0.02124,7.04,,,,,,,4540,0.68,0.73,-0.77,296.1125759,39.9787451,-1.37962,-7.18457,369.451
TIC 184296619,Gaia DR2 2076328963475704576,3.072,0.116,0.01164,10.1,,,,,,,,,0.6,,296.1125759,39.9787451,-1.37962,-7.18457,369.451
TIC 184296619,Gaia DR2 2076328963475704576,4.64489,0.143,0.01299,3.75,,,,,,,4540,0.68,0.73,-0.77,296.1125759,39.9787451,-1.37962,-7.18457,369.451
TIC 184296619,Gaia DR2 2076328963475704576,4.645,0.116,0.00661,4.6,,,,,,,,,0.6,,296.1125759,39.9787451,-1.37962,-7.18457,369.451
TIC 270611154,Gaia DR2 2077816087307845248,5.955,0.25,0.054,,,,,,,,,0.65,0.68,,293.6369437,42.8248275,-1.36923,-24.6628,348.291
TIC 270611154,Gaia DR2 2077816087307845248,12.04,0.241,0.014,,,,,,,,,0.65,0.68,,293.6369437,42.8248275,-1.36923,-24.6628,348.291
TIC 63372898,Gaia DR2 2125850623586710400,26.444,0.352,0.16,,,,,,,,,0.93,0.97,,292.8733696,42.9661583,0.190322,6.60364,904.326
TIC 63372898,Gaia DR2 2125850623586710400,26.44,0.363,0.03823,0.98,0.0033,,,,,0.04159,,0.9,0.91,,292.8733696,42.9661583,0.190322,6.60364,904.326
TIC 63372898,Gaia DR2 2125850623586710400,51.54,0.476,0.04373,0.494,0.007,,,,,0.05453,,0.9,0.91,,292.8733696,42.9661583,0.190322,6.60364,904.326
TIC 63372898,Gaia DR2 2125850623586710400,51.535,0.471,0.058,,,,,,,,,0.93,0.97,,292.8733696,42.9661583,0.190322,6.60364,904.326
TIC 123416515,Gaia DR2 2105261134483173632,9.771,0.242,0.132,,,,,,,,,0.59,0.63,,282.2325197,43.6655662,1.90979,-13.641,400.409
TIC 123416515,Gaia DR2 2105261134483173632,20.09,0.208,0.036,,,,,,,,,0.59,0.63,,282.2325197,43.6655662,1.90979,-13.641,400.409
TIC 123416515,Gaia DR2 2105261134483173632,5.17,0.19,0.077,,,,,,,,,0.59,0.63,,282.2325197,43.6655662,1.90979,-13.641,400.409
TIC 170646917,Gaia DR2 2073776859551124992,8.726,0.174,0.126,,,,,,,,,1.02,1,,298.2520208,40.4960842,-1.07592,-3.88854,1023.9
TIC 170646917,Gaia DR2 2073776859551124992,12.883,0.184,0.064,,,,,,,,,1.02,1,,298.2520208,40.4960842,-1.07592,-3.88854,1023.9
TIC 159580705,Gaia DR2 2127398083121764736,12.513,0.191,0.066,,,,,,,,,0.87,0.97,,290.9734395,45.2902761,-0.0318625,-6.09339,765.025
TIC 159580705,Gaia DR2 2127398083121764736,25.215,0.107,0.00189,1.6,,,,,,,,,0.9,,290.9734395,45.2902761,-0.0318625,-6.09339,765.025
TIC 273592336,Gaia DR2 2086306584816171392,114.73635,1.204,1.02,0.729,0.036,478,,,57.4,0.06855,5600,1.82,1.1,,297.9168433,46.9651146,-4.43279,-0.932606,1232.9
TIC 273592336,Gaia DR2 2086306584816171392,191.2318,0.548,0.02,0.152,0.039,403,,,80.7,0.03123,5600,1.82,1.1,,297.9168433,46.9651146,-4.43279,-0.932606,1232.9
TIC 120571842,Gaia DR2 2099925719951103872,19.24,0.842,0.252,0.524,0.15,,,3.82248,,0.07885,5754,1.05,1.03,0.037,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,19.2259,0.691,0.1384,,0.0636,,,,,0.07418,,0.98,1.03,,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,19.243,0.732,0.13687,0.4,,,,,,,,,1,,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,19.23891,0.74,0.13655,0.42,0.0609,,,4.243,31.3,0.0776,5774,0.96,1.02,-0.038,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,19.238,0.79,6.844,,,,,,,,,0.96,1.03,,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,38.91,0.823,0.171,0.383,0.13,,,4.10904,,0.07708,5754,1.05,1.03,0.037,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,38.988,0.772,1.604,,,,,,,,,0.96,1.03,,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,38.969,0.74,0.09408,0.3,,,,,,,,,1,,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 120571842,Gaia DR2 2099925719951103872,38.9853,0.721,0.09408,0.31,0.06691,,,4.565,49.8,0.0756,5774,0.96,1.02,-0.038,285.5739904,38.4008192,2.49072,-14.7128,628.257
TIC 352011875,Gaia DR2 2105909326647414400,6.246696,1.3,0.76,0.43,0.018,,,,2.463,0.0212,4643.39,6.38,,,285.6729033,44.1167513,-0.773912,4.1895,1294.69
TIC 352011875,Gaia DR2 2105909326647414400,6.24658,1.367,0.81,0.4,,2040,,,2.496,0.02181,4550,6.3,1.31,,285.6729033,44.1167513,-0.773912,4.1895,1294.69
TIC 352011875,Gaia DR2 2105909326647414400,6.24658,1.384,0.88,0.44,0.066,,,,2.45,0.02255,4550,6.3,1.31,1.225,285.6729033,44.1167513,-0.773912,4.1895,1294.69
TIC 352011875,Gaia DR2 2105909326647414400,6.24668005,1.4,0.66,,0.0519,,,,2.253,0.02286,4643.39,6.38,,,285.6729033,44.1167513,-0.773912,4.1895,1294.69
TIC 121943724,Gaia DR2 2102224661326132864,13.749,0.313,0.202,,,,,,,,,1.7,1.21,,289.0860607,41.5630224,-0.127316,14.7179,477.992
TIC 121943724,Gaia DR2 2102224661326132864,26.723,0.232,0.019,,,,,,,,,1.7,1.21,,289.0860607,41.5630224,-0.127316,14.7179,477.992
TIC 137151335,Gaia DR2 2052747119115620352,4.72674,0.14,0.0143,,0,,0.022,,12.5,,5669,0.98,1.09,,291.4181275,38.6723124,-28.7264,-5.58838,95.9115
TIC 137151335,Gaia DR2 2052747119115620352,4.72673978,0.132,0.01196,6.3,,1037,,2.8898,12.496,0.01475,5669,0.92,0.91,,291.4181275,38.6723124,-28.7264,-5.58838,95.9115
TIC 137151335,Gaia DR2 2052747119115620352,4.72674,0.134,0.008,4.17,,,,,,0.01493,5669,0.92,0.91,,291.4181275,38.6723124,-28.7264,-5.58838,95.9115
TIC 137151335,Gaia DR2 2052747119115620352,4.72673978,0.132,0.01265,6.88,0,1037,,,12.496,0.01475,5655,0.92,1,-0.106,291.4181275,38.6723124,-28.7264,-5.58838,95.9115
TIC 123309556,Gaia DR2 2119602202081351168,2.50806,0.313,0.034,1.45,,,,,,0.04238,4781,0.76,0.81,,281.1947316,47.4972606,-5.58438,25.2528,191.904
TIC 164726946,Gaia DR2 2106705269988803072,11.5231,0.305,0.041,1.71,,,,,,0.02217,5699,1.41,1.08,,284.4824281,44.397891,-4.00442,-26.4111,445.656
TIC 169081296,Gaia DR2 2073731161099713408,16.2385,0.238,0.027,2.26,,,,,,0.02397,5690,1.02,1,,297.0698263,40.5252039,32.8344,13.6519,122.881
TIC 399951991,Gaia DR2 2131216137248338304,2.58664,0.132,0.011,5.44,,,,,,0.0138,5779,0.98,0.94,,287.3265292,48.6733443,-13.1728,-21.042,400.907
TIC 120629799,Gaia DR2 2099862910348755712,1.54168,0.178,0.011,2.18,,,,,,0.01638,5539,1.11,0.99,,285.6616933,37.9645672,8.85775,15.6571,350.315
TIC 169462917,Gaia DR2 2076871091425583232,4.60358,0.132,0.019,10.9,,,,,,0.01847,4782,0.73,0.79,,297.3539994,41.3000452,1.3789,-3.22036,208.369
TIC 234994474,Gaia DR2 6491962296196145664,1.4015,0.124,0.01447,9.6,0.21,965,,,7.61,0.0212,3800,0.6,0.62,-1.172,350.0285917,-60.0657292,-319.961,-127.781,25.1496
TIC 307210830,Gaia DR2 5271055243163629056,2.2531,0.071,0.00318,12.7,0.12,610,,,,,3412,0.31,0.31,,124.5328604,-68.3144658,94.7675,-340.47,10.6194
TIC 307210830,Gaia DR2 5271055243163629056,2.2531136,0.076,0.00126,3.6,0.103,627,,0.992,15,0.02512,3415,0.3,0.27,-1.948,124.5328604,-68.3144658,94.7675,-340.47,10.6194
TIC 307210830,Gaia DR2 5271055243163629056,3.6906777,0.124,0.00698,4.57,0.103,553,,1.346,19,0.04088,3415,0.3,0.27,-1.948,124.5328604,-68.3144658,94.7675,-340.47,10.6194
TIC 307210830,Gaia DR2 5271055243163629056,3.6904,0.12,0.00761,5.4,0.07,517,,,,,3412,0.31,0.31,,124.5328604,-68.3144658,94.7675,-340.47,10.6194
TIC 307210830,Gaia DR2 5271055243163629056,7.4512,0.14,0.00727,3.3,0.09,409,,,,,3412,0.31,0.31,,124.5328604,-68.3144658,94.7675,-340.47,10.6194
