tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 37168957,Gaia DR2 3120058170178779392,1.9000693,1.251,3.27,2.07,,1490,,,6.6578,,5440,0.92,0.86,,98.1724172,-0.0316045,2.33468,-3.2603,764.889
TIC 42821097,Gaia DR2 3120002649138831360,3.89713,1.29,1.11,0.71,0.047,2000,,4.7,6.7,0.0786,6090,1.65,1.21,0.544,97.0335983,-0.1707293,4.79937,-6.01337,790.663
TIC 42821097,Gaia DR2 3120002649138831360,3.89713,1.19,1.09,0.798,,1630,,,6.993,,6090,1.58,1.18,,97.0335983,-0.1707293,4.79937,-6.01337,790.663
TIC 42821097,Gaia DR2 3120002649138831360,3.89713,1.29,1.155,0.668,0.056,,,,,,6090,1.65,1.21,,97.0335983,-0.1707293,4.79937,-6.01337,790.663
TIC 391958006,Gaia DR2 4287820848378092672,1.7429935,1.466,3.47,1.47,0.0143,,2.75,2.26704,,,5625,0.91,0.96,,291.7770457,1.3836634,-3.40878,-10.9361,213.283
TIC 391958006,Gaia DR2 4287820848378092672,1.7429975,1.414,3.31,1.553,0,1535,,,6.711,0.161,5625,0.9,0.97,,291.7770457,1.3836634,-3.40878,-10.9361,213.283
TIC 391958006,Gaia DR2 4287820848378092672,1.7429935,1.46,3.57,1.427,,1521,,,6.7659,,5598,0.9,1,,291.7770457,1.3836634,-3.40878,-10.9361,213.283
TIC 391958006,Gaia DR2 4287820848378092672,1.7429964,1.465,3.31,,0,,2.77889,,,,,,,,291.7770457,1.3836634,-3.40878,-10.9361,213.283
TIC 391958006,Gaia DR2 4287820848378092672,1.7429935,1.47,3.62,1.418,,1548,,,6.7659,,5696,0.91,1.02,,291.7770457,1.3836634,-3.40878,-10.9361,213.283
TIC 391958006,Gaia DR2 4287820848378092672,1.74299673,1.466,3.3,1.3,0.024,,,,,,5625,0.9,0.97,,291.7770457,1.3836634,-3.40878,-10.9361,213.283
TIC 234825296,Gaia DR2 3120122805143587328,9.24285,0.84,4.23,8.9,0.575,,,,,,5880,1.02,1.14,,97.7204249,0.2268931,-0.262189,-2.80349,844.061
TIC 234825296,Gaia DR2 3120122805143587328,9.24318,1,4.14,5.2,,1024,,,16.5,0.0884,,1.16,1.1,0.17,97.7204249,0.2268931,-0.262189,-2.80349,844.061
TIC 234825296,Gaia DR2 3120122805143587328,9.24285,1.16,5.06,4,,1100,,,14.29,,5880,1.34,1.11,,97.7204249,0.2268931,-0.262189,-2.80349,844.061
TIC 234825296,Gaia DR2 3120122805143587328,9.24285,0.84,4.24,8.87,0.562,1002,,2.2248,18.95,0.0842,5880,1.02,1.14,,97.7204249,0.2268931,-0.262189,-2.80349,844.061
TIC 280420719,Gaia DR2 3107471240236703104,2.72474,1.3,2.22,1.24,0.39,,,,,,6200,1.95,1.29,,101.0526207,-0.2991544,-11.578,1.7984,
TIC 280420719,Gaia DR2 3107471240236703104,2.72474,1.3,2.26,1.36,0,,,4.76,4.6,0.067,6200,1.95,1.29,,101.0526207,-0.2991544,-11.578,1.7984,
